date,hits,keyword
2009-09-06,5.04901332167931,2015
2009-09-07,5.80636531993121,2015
2009-09-08,7.06861865035104,2015
2009-09-09,6.31126665209914,2015
2009-09-10,5.30146398776328,2015
2009-09-11,5.04901332167931,2015
2009-09-12,4.79656265559535,2015
2009-09-13,5.55391465384725,2015
2009-09-14,8.58332264685483,2015
2009-09-15,10.3504773094426,2015
2009-09-16,7.82597064860294,2015
2009-09-17,7.82597064860294,2015
2009-09-18,6.81616798426707,2015
2009-09-19,5.04901332167931,2015
2009-09-20,4.29166132342742,2015
2009-09-21,5.80636531993121,2015
2009-09-22,7.82597064860294,2015
2009-09-23,5.55391465384725,2015
2009-09-24,5.55391465384725,2015
2009-09-25,5.55391465384725,2015
2009-09-26,4.54411198951138,2015
2009-09-27,4.54411198951138,2015
2009-09-28,5.80636531993121,2015
2009-09-29,7.06861865035104,2015
2009-09-30,6.81616798426707,2015
2009-10-01,6.81616798426707,2015
2009-10-02,8.8357733129388,2015
2009-10-03,5.30146398776328,2015
2009-10-04,5.30146398776328,2015
2009-10-05,6.31126665209914,2015
2009-10-06,7.06861865035104,2015
2009-10-07,5.04901332167931,2015
2009-10-08,6.56371731818311,2015
2009-10-09,6.05881598601518,2015
2009-10-10,6.05881598601518,2015
2009-10-11,6.05881598601518,2015
2009-10-12,7.06861865035104,2015
2009-10-13,5.04901332167931,2015
2009-10-14,6.31126665209914,2015
2009-10-15,7.57351998251897,2015
2009-10-16,5.04901332167931,2015
2009-10-17,4.03921065734345,2015
2009-10-18,5.04901332167931,2015
2009-10-19,7.57351998251897,2015
2009-10-20,6.56371731818311,2015
2009-10-21,6.81616798426707,2015
2009-10-22,5.55391465384725,2015
2009-10-23,7.06861865035104,2015
2009-10-24,5.55391465384725,2015
2009-10-25,4.29166132342742,2015
2009-10-26,6.05881598601518,2015
2009-10-27,7.06861865035104,2015
2009-10-28,6.31126665209914,2015
2009-10-29,6.56371731818311,2015
2009-10-30,5.30146398776328,2015
2009-10-31,6.81616798426707,2015
2009-11-01,5.04901332167931,2015
2009-11-02,6.56371731818311,2015
2009-11-03,6.56371731818311,2015
2009-11-04,6.56371731818311,2015
2009-11-05,8.8357733129388,2015
2009-11-06,25.2450666083966,2015
2009-11-07,14.389687966786,2015
2009-11-08,8.8357733129388,2015
2009-11-09,8.33087198077087,2015
2009-11-10,7.06861865035104,2015
2009-11-11,8.0784213146869,2015
2009-11-12,7.57351998251897,2015
2009-11-13,6.56371731818311,2015
2009-11-14,6.81616798426707,2015
2009-11-15,3.78675999125949,2015
2009-11-16,7.32106931643501,2015
2009-11-17,8.0784213146869,2015
2009-11-18,5.80636531993121,2015
2009-11-19,8.33087198077087,2015
2009-11-20,6.05881598601518,2015
2009-11-21,6.31126665209914,2015
2009-11-22,4.54411198951138,2015
2009-11-23,6.56371731818311,2015
2009-11-24,6.81616798426707,2015
2009-11-25,6.56371731818311,2015
2009-11-26,7.82597064860294,2015
2009-11-27,7.82597064860294,2015
2009-11-28,4.79656265559535,2015
2009-11-29,4.54411198951138,2015
2009-11-30,7.32106931643501,2015
2009-12-01,5.04901332167931,2015
2009-12-02,5.30146398776328,2015
2009-12-03,5.80636531993121,2015
2009-12-04,5.80636531993121,2015
2009-12-05,4.54411198951138,2015
2009-12-06,5.30146398776328,2015
2009-12-07,4.03921065734345,2015
2009-12-08,4.79656265559535,2015
2009-12-09,5.55391465384725,2015
2009-12-10,6.56371731818311,2015
2009-12-11,6.81616798426707,2015
2009-12-12,4.79656265559535,2015
2009-12-13,4.03921065734345,2015
2009-12-14,6.31126665209914,2015
2009-12-15,7.32106931643501,2015
2009-12-16,5.80636531993121,2015
2009-12-17,6.31126665209914,2015
2009-12-18,5.80636531993121,2015
2009-12-19,4.29166132342742,2015
2009-12-20,6.05881598601518,2015
2009-12-21,5.04901332167931,2015
